Message: AuxControls, ID: 0x18ff35e4, DLC: 8
  Signal: btn_LHJoystick_LH, Start Bit: 20, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: -
  Signal: btn_LHJoystick_RH, Start Bit: 22, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: -
  Signal: btn_LHJoystick_Dw, Start Bit: 24, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: -
  Signal: btn_LHJoystick_Up, Start Bit: 25, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: -
  Signal: btn_RHJoystick_Up, Start Bit: 26, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: -
  Signal: btn_RHJoystick_Dw, Start Bit: 27, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: -
  Signal: btn_RHJoystick_Trigger, Start Bit: 28, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: -
  Signal: sld01, Start Bit: 32, Length: 8, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: btn_RHJoystick_Speed, Start Bit: 59, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: -
Message: LegacyMessaggesPrior6, ID: 0x18ffffe4, DLC: 8
  Signal: CANLegacyFunctionsSelector, Start Bit: 0, Length: 16, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 65535, Unit: None
  Signal: btn_07, Start Bit: 16, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: btn_05, Start Bit: 16, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: btn_03, Start Bit: 16, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: btn_01, Start Bit: 16, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: btn_08, Start Bit: 17, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: btn_06, Start Bit: 17, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: btn_04, Start Bit: 17, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: btn_02, Start Bit: 17, Length: 1, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
Message: AuxControlsTX, ID: 0x18ff53e4, DLC: 8
Message: TestMsg_0000, ID: 0x14ffffb0, DLC: 8
  Signal: DWORD, Start Bit: 0, Length: 32, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: DWORD1, Start Bit: 32, Length: 32, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
Message: KeypadPress1, ID: 0x18ff0237, DLC: 6
  Signal: EngineStart, Start Bit: 0, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Stop, Start Bit: 2, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: key3, Start Bit: 4, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: key4, Start Bit: 6, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: WorkLight, Start Bit: 8, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: key6, Start Bit: 10, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Beacon, Start Bit: 12, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: key8, Start Bit: 14, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: key9, Start Bit: 16, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: key10, Start Bit: 18, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: key11, Start Bit: 20, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: key12, Start Bit: 22, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: HandThrottle, Start Bit: 32, Length: 10, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 1023, Unit: None
Message: BCT_GAU, ID: 0x18ff2fb0, DLC: 7
  Signal: engineCoolantTemp, Start Bit: 0, Length: 8, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 255, Unit: None
  Signal: fuelLevelGauge, Start Bit: 8, Length: 8, Endianess: Little Endian, Factor: 0.4, Offset: 0, Min: 0, Max: 102, Unit: None
  Signal: hydraulicChargePressure, Start Bit: 16, Length: 8, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 255, Unit: None
  Signal: Gauge4, Start Bit: 24, Length: 8, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 255, Unit: None
  Signal: engineOilPressure, Start Bit: 32, Length: 8, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 255, Unit: None
  Signal: hydraulicOilTemperature, Start Bit: 40, Length: 8, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 255, Unit: None
  Signal: Unused, Start Bit: 48, Length: 8, Endianess: Little Endian, Factor: 1, Offset: 0, Min: 0, Max: 255, Unit: None
Message: SAE_AUXIO3, ID: 0x18a637b0, DLC: 8
  Signal: Button11_Left, Start Bit: 0, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button11_Center, Start Bit: 2, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button11_Right, Start Bit: 4, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button12_Left, Start Bit: 6, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button12_Center, Start Bit: 8, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button12_Right, Start Bit: 10, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button13_Left, Start Bit: 12, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button13_Center, Start Bit: 14, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button13_Right, Start Bit: 16, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button14_Left, Start Bit: 18, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button14_Center, Start Bit: 20, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button14_Right, Start Bit: 22, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button15_Left, Start Bit: 24, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button15_Center, Start Bit: 26, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
  Signal: Button15_Right, Start Bit: 28, Length: 2, Endianess: Little Endian, Factor: 1, Offset: 0, Min: None, Max: None, Unit: None
